Date,Ticker,Dollars,Returns,PnL,CumReturns,SODDollars,EODDollars,EOD_check
2026-01-02,AAPL,5000.0,-0.003126523879828924,-15.63261939914462,0.9968734761201711,5000.0,4984.3673806008555,4984.3673806008555
2026-01-05,AAPL,5000.0,-0.013837113287258118,-68.96925611068804,0.9830796248980335,4984.3673806008555,4915.398124490168,4915.398124490167
2026-01-06,AAPL,5000.0,-0.018334308830022295,-90.12042723691509,0.9650555394506505,4915.398124490167,4825.277697253252,4825.277697253252
2026-01-07,AAPL,5000.0,-0.00773747740562758,-37.33547715837572,0.9575884440189754,4825.277697253252,4787.942220094877,4787.942220094877
2026-01-08,AAPL,5000.0,-0.004955108337700187,-23.724772415218865,0.9528434895359316,4787.942220094877,4764.217447679658,4764.217447679658
2026-01-09,AAPL,5000.0,0.0012738954148727721,6.069114762055977,0.9540573124883428,4764.217447679658,4770.2865624417145,4770.286562441714
2026-01-12,AAPL,5000.0,0.0033928502238405045,16.184867831163718,0.9572942860545756,4770.286562441714,4786.471430272877,4786.471430272878
2026-01-13,AAPL,5000.0,0.0030738623692765366,14.712954411133042,0.9602368769368022,4786.471430272878,4801.184384684011,4801.184384684011
2026-01-14,AAPL,5000.0,-0.0041753602144793955,-20.046674262189356,0.9562275420843643,4801.184384684011,4781.137710421822,4781.137710421822
2026-01-15,AAPL,5000.0,-0.00673187624656213,-32.186027384331105,0.9497903366074981,4781.137710421822,4748.9516830374905,4748.9516830374905
2026-01-16,AAPL,5000.0,-0.010379073276537754,-49.28971750498341,0.9399323931065015,4748.9516830374905,4699.661965532507,4699.661965532508
2026-01-20,AAPL,5000.0,-0.03455563492367564,-162.3998031456252,0.9074524324773764,4699.661965532508,4537.262162386883,4537.262162386882
2026-01-21,AAPL,5000.0,0.003850831106810837,17.47223027467521,0.9109468785323115,4537.262162386882,4554.734392661557,4554.734392661558
2026-01-22,AAPL,5000.0,0.0028266120532465244,12.874467133633647,0.9135217719590382,4554.734392661558,4567.608859795191,4567.608859795191
2026-01-23,AAPL,5000.0,-0.001248289505752287,-5.701698206063506,0.9123814323178254,4567.608859795191,4561.907161589128,4561.907161589127
2026-01-26,AAPL,5000.0,0.029712962519965025,135.54777651185776,0.939490987620197,4561.907161589127,4697.454938100985,4697.454938100985
2026-01-27,AAPL,5000.0,0.011197578028024013,52.60011820251249,0.9500110112606995,4697.454938100985,4750.055056303498,4750.055056303498
2026-01-28,AAPL,5000.0,-0.007085445328186779,-33.656255407315605,0.9432797601792364,4750.055056303498,4716.398800896182,4716.398800896182
2026-01-29,AAPL,5000.0,0.007175077196164281,33.84052548432676,0.9500478652761017,4716.398800896182,4750.239326380509,4750.239326380509
2026-01-30,AAPL,5000.0,0.0046461394466286166,22.07027431522303,0.9544619201391463,4750.239326380509,4772.309600695732,4772.309600695731
2026-02-02,AAPL,5000.0,0.04058122413384724,193.66616554194448,0.9931951532475353,4772.309600695731,4965.975766237676,4965.975766237676
2026-02-03,AAPL,5000.0,-0.0019629122599374993,-9.747774714100451,0.9912455983047151,4965.975766237676,4956.227991523576,4956.227991523576
2026-02-04,AAPL,5000.0,0.026012954335186356,128.92613241827516,1.0170308247883701,4956.227991523576,5085.154123941851,5085.154123941851
2026-02-05,AAPL,5000.0,-0.0020976508564164442,-10.666877903096237,1.014897449207751,5085.154123941851,5074.487246038755,5074.487246038755
2026-02-06,AAPL,5000.0,0.008009793893585249,40.64559695639745,1.0230265685990305,5074.487246038755,5115.132842995153,5115.132842995153
2026-02-09,AAPL,5000.0,-0.01166051394653178,-59.64507785410774,1.011097553028209,5115.132842995153,5055.487765141045,5055.487765141044
2026-02-10,AAPL,5000.0,-0.003422920610733904,-17.304533268614364,1.0076366463744861,5055.487765141044,5038.18323187243,5038.183231872431
2026-02-11,AAPL,5000.0,0.0066501292492171515,33.504569673190254,1.0143375603091243,5038.183231872431,5071.687801545621,5071.687801545621
2026-02-12,AAPL,5000.0,-0.049981811301894274,-253.49214267897227,0.9636391317733298,5071.687801545621,4818.195658866649,4818.195658866649
2026-02-13,AAPL,5000.0,-0.022733396848946263,-109.53395400888564,0.9417323409715527,4818.195658866649,4708.661704857764,4708.661704857764
2026-02-17,AAPL,5000.0,0.031667863563111576,149.113256434284,0.9715549922584095,4708.661704857764,4857.774961292048,4857.774961292047
2026-02-18,AAPL,5000.0,0.0017811172199722058,8.65226663430708,0.9732854455852709,4857.774961292047,4866.427227926354,4866.427227926354
2026-02-19,AAPL,5000.0,-0.014261469431454121,-69.40240315146772,0.9594049649549773,4866.427227926354,4797.024824774887,4797.024824774887
2026-02-20,AAPL,5000.0,0.015350373037534393,73.63612053060757,0.9741321890610988,4797.024824774887,4870.660945305494,4870.660945305493
2026-02-23,AAPL,5000.0,0.006047343656806037,29.45456057204607,0.980023101175508,4870.660945305493,4900.115505877539,4900.115505877539
2026-02-24,AAPL,5000.0,0.022390946489790453,109.71822408589647,1.0019667459926873,4900.115505877539,5009.833729963436,5009.833729963437
2026-02-25,AAPL,5000.0,0.007679856784716499,38.474805561361265,1.0096617071049596,5009.833729963437,5048.308535524798,5048.308535524798
2026-02-26,AAPL,5000.0,-0.004667610137537803,-23.563536097834167,1.0049489998853929,5048.308535524798,5024.744999426964,5024.744999426965
2026-02-27,AAPL,5000.0,-0.03213049693728531,-161.44755381472777,0.9726594891224474,5024.744999426965,4863.2974456122365,4863.2974456122365
2026-03-02,AAPL,5000.0,0.002044093269336189,9.941033575355855,0.9746476958375185,4863.2974456122365,4873.238479187592,4873.238479187593
2026-03-03,AAPL,5000.0,-0.0036642536122324376,-17.85678170063325,0.9710763394973919,4873.238479187593,4855.38169748696,4855.38169748696
2026-03-04,AAPL,5000.0,-0.004663548763329417,-22.643309310807595,0.9665476776352304,4855.38169748696,4832.738388176152,4832.7383881761525
2026-03-05,AAPL,5000.0,-0.00849451684471103,-41.051777644443966,0.9583373221063416,4832.7383881761525,4791.6866105317085,4791.686610531708
2026-03-06,AAPL,5000.0,-0.010872553678353492,-52.09786988285369,0.9479177481297708,4791.686610531708,4739.588740648854,4739.588740648854
